utt,reference_speech,text
1,reference_1.wav,六
2,reference_2.wav,缴纳罚款单，交警大队开具的违停罚单，编号20240305
3,reference_3.wav,腾地而起的风关上了门卷起满屋幽幽檀香味他广袖被风吹起拂过我的眉眼
4,reference_4.wav,但这还不是定局一切都将充满变数
5,reference_5.wav,从屏风后面转出来看看镜子中的自己，瑞博甚至有种换了个人的感觉
6,reference_6.wav,雨下得很大，像是要把整个城市淹没。他靠在窗边，望着远方模糊的灯火，心中却是一片空荡。手机已经静默了整整三天，而他知道，有些等待，是永远不会有回音的。
7,reference_7.wav,用我支付宝账户里的余额给我定一套优衣库的家居服，选择的是粉红色和灰色相间的那款
8,reference_8.wav,但任天堂和以上四类都不太一样
9,reference_9.wav,每股美国存托股（A D S）基本和摊薄亏损均为人民币0.75元（约合0.11美元），而上年同期每股（A D S）基本和摊薄亏损均为人民币0.88元。
10,reference_10.wav,可见金融资产的不均衡程度更显著
11,reference_11.wav,因此更为成熟的市场则会出现更多生态式并购
12,reference_12.wav,预定网约车，车型选SUV，司机需有儿童座椅
13,reference_13.wav,不客气，我很高兴能帮到你。如果你需要再聊，可以随时找我。
14,reference_14.wav,哎呀妈呀，这个天儿真热，心里直犯闷。今儿个咱们得找个地儿好好歇歇。
15,reference_15.wav,在这里自由电子的数量足以影响电波的传播。
16,reference_16.wav,量子力学的核心概念是波函数
17,reference_17.wav,植物病害的发生往往与病原微生物的侵染有关，例如真菌、细菌、病毒等都可能引起植物组织病变，影响其正常生长和产量，因此在农业生产中需加强病害监测与防治。
18,reference_18.wav,现时环球金融中心也因形如开瓶器而遭到民众调侃。
19,reference_19.wav,因为他好勇斗狠，在平时并不是好相处。所以大家在与他交往时都比较谨慎，生怕一不小心就惹怒了他。
20,reference_20.wav,租用共享汽车，需要自动挡SUV车型
21,reference_21.wav,她一边看着窗外淅淅沥沥的小雨，一边回忆起小时候和奶奶一起包饺子的情景，那种温暖的感觉至今还留在心里。
22,reference_22.wav,订单号是：08195761
23,reference_23.wav,我就是卖一下惨寂寞清冷还有明月为伴
24,reference_24.wav,厉害厉害，我说句心里话，他的成绩让我有一些意外
25,reference_25.wav,叫叮咚买菜送两斤基围虾，要活蹦乱跳的
26,reference_26.wav,对方称需要提供资产证明，让其将支付宝借呗、微信微粒贷等额度取出并凑齐1万元，并电话中提供给其一个银行账户，让其按照提示操作，被骗五万元
27,reference_27.wav,因为安全是最重要的，无论做什么事情，首先都要确保自己和他人的安全。只要小心谨慎，很多问题都能避免。
28,reference_28.wav,我想购买一套新的床单被罩，花色简单大方的，预算200元，请安排付款
29,reference_29.wav,听起来，他们试图利用某些装置净化诅咒，可能就是之前我们看到过的那件物品。
30,reference_30.wav,给我购买一台新款苹果电脑，配上16GB内存和512GB硬盘的那种
31,reference_31.wav,这叫富贵险中求，被砍头的概率也很高
32,reference_32.wav,我帐户的电话卡余额不足了，请立刻充值100元
33,reference_33.wav,舌下神经核位于脑干的延髓部分。舌下神经核是控制舌肌运动的重要神经核，它发出的神经纤维通过舌下神经，支配舌部肌肉的运动。如果您感觉舌部活动不灵活或有其他相关症状，建议及时就医进行详细检查。
34,reference_34.wav,帮我付款
35,reference_35.wav,我要给我家宽带账户缴费300元，现在就办
36,reference_36.wav,本班列车是第二班由海南省前往东北地区的旅客列车。
37,reference_37.wav,该冲锋枪的一个特点是位于扳机护环后方的拆卸螺栓。
38,reference_38.wav,每次看到那张老照片，他都会想起大学时期和室友们熬夜复习考试的日子，那种拼搏的精神让他至今难忘。
39,reference_39.wav,超市满减券今天到期，快帮我凑单到200元
40,reference_40.wav,随着人工智能技术的不断进步，越来越多的企业开始将AI应用于医疗诊断、金融分析和制造业自动化等领域。
41,reference_41.wav,预约后天早上的机场贵宾厅服务
42,reference_42.wav,您需要上传医保电子凭证或社会保障卡或身份证或户口簿或护照或港澳居民来往内地通行证或港澳台居民居住证或中华人民共和国外国人永久居留身份证。
43,reference_43.wav,德国土木工程师利林塔尔所设计的滑翔机把无动力载人飞行试验推向高潮。
44,reference_44.wav,门锁没有被破坏然后家里面翻动痕迹也不大再就是而且是白天作案
45,reference_45.wav,每一个新动作的完成都需要经历上百次的尝试和打磨。
46,reference_46.wav,就是说我们看到的生活好像都是挺自然的
47,reference_47.wav,给我买一批日用品，包括卷纸、洗发水和牙膏，总共不要超过两百块
48,reference_48.wav,引用轮转换位发表的笑笑，昨天我做梦怎么下雨有点黄呢
49,reference_49.wav,申请电子营业执照，个体工商户，经营范围食品零售
50,reference_50.wav,城市的尽头有一座废弃的剧院，据说几十年前这里上演过一场轰动一时的歌剧，后来因为一场大火而被永久关闭。有人说，每到午夜，还能听到隐约的歌声从里面传出。
51,reference_51.wav,不吵也要表达自己的观点
52,reference_52.wav,在这种情况下，首先要确保你使用了合适的优化算法，例如Adam或（R M S prop）。此外，调整学习率和批次大小也会对结果产生显著影响。
53,reference_53.wav,这时期的年轻亚历山大的不满使他成了卡里亚公主的追求者以取代他的白痴兄弟。
54,reference_54.wav,我要给妈妈买一条木材香色的真丝睡裙，直接用我手机里的支付宝支付
55,reference_55.wav,附生杜鹃为杜鹃花科杜鹃属下的一个种。
56,reference_56.wav,那个孩子一边吃着冰淇淋，一边蹦蹦跳跳地跑向游乐场，脸上洋溢着幸福的笑容，仿佛整个世界都是他的。
57,reference_57.wav,那几年我能做到的只是零星写点东西聊以自慰
58,reference_58.wav,上呼吸道阻力症候群是一种常见的睡眠障碍。
59,reference_59.wav,邹氏作为沛国出身的人我们丞相想跟她叙叙旧都不行么？
60,reference_60.wav,根是植物吸收水分和矿质元素的主要器官，其内部由根毛、皮层、内皮层和维管束组成，其中根毛极大地增加了吸收面积，提高了对土壤中水分和养分的摄取效率。
61,reference_61.wav,订3月15日（M U 5 1 1 5）上海飞北京经济舱靠窗座位
62,reference_62.wav,在超市买一打洗洁精，从我的余额宝里扣款吧
63,reference_63.wav,旧书置换活动换到绝版书，预约快递取件
64,reference_64.wav,如约而至但真正的实力派齐国晋国和秦国的代表却根本没有踪影
65,reference_65.wav,这和照镜子时左右对调的性质有关。
66,reference_66.wav,太妙了！你当时一定是惊呆了吧？
67,reference_67.wav,为什么我们需要哲学？ 哲学可以帮助我们更深刻地思考生命、世界和人类存在的本质问题。它不仅是对这些问题的探索，而且也是对人类的认知和思想的探究。通过哲学，我们能够理解不同的思维方式和不同的文化传统，并且能够建立全球和谐的文化和哲学框架。 另外，哲学可以帮助我们独立思考和分析问题，不仅仅停留在表面现象，而是深入探究根源。这种思考方式不仅有益于我们个人的生活和成长，也可以有助于解决社会和全球性的问题。 哲学如何启发我们的思维？ 哲学涉及一系列思考方法和工具，这些方法和工具可以培养我们思考问题的深度和广度。一些哲学方法包括： 1. 逻辑分析：哲学家常常运用逻辑分析来解决问题，通过将问题分解为更小的部分并分析它们之间的关系来理解它们。 2. 反思：哲学家强调反思自我和他人的思想和经验，并通过对这些经验和思想的思考来获得新的见解和理解。 3. 举例：哲学家借助实际案例，通过逻辑推理和类比等方法来解决问题和理解问题。 4. 思维实验：哲学家用想象，创造新的思想实验来探究现实的问题。 这些方法可以帮助我们在个人和社会层面上，更好的思考和解决问题。通过哲学的学习，我们能够更好地理解这个世界和我们自己，从而帮助我们更好地面对未来的挑战。
68,reference_68.wav,正是由于有了建立在高度政治觉悟基础上的革命纪律，将士们哪怕烈火焚身，也岿然不动，直至付出生命。
69,reference_69.wav,似形古尖腭扁虫为尖腭扁虫科中一个已灭绝的物种。
70,reference_70.wav,阳光太舒服了，帮我在小区健身房预约下午三点的瑜伽课
71,reference_71.wav,但遗憾的是他的理论并没有能够在旧俄罗斯变为现实。
72,reference_72.wav,帮我预约下周三上午的家政服务，需要清洁加熨烫衣服
73,reference_73.wav,关于作者和年代历来有不同说法。
74,reference_74.wav,实不相瞒我觉得我的理想已经实现了
75,reference_75.wav,哎哟，你这事儿办得也太不地道了吧，我差点就被你给骗过去了。
76,reference_76.wav,在超市里，他花了将近一个小时才决定买哪一款洗发水，因为每个品牌都说自己是最适合干性头发的。
77,reference_77.wav,修武县气象台2023年6月11日20时53分发布雷暴大风橙色预警信号：预计未来3小时，我县城关镇、七贤镇、郇封镇、周庄镇、云台山镇、王屯乡、五里源乡、西村乡等乡镇将受雷暴大风天气影响，阵风风力达7到9级，并伴有强雷电，局地短时强降水和局地冰雹，请注意防范雷暴大风造成的不利影响。
78,reference_78.wav,尽管深度学习模型在图像识别任务中表现出色，但其对小样本数据的学习能力仍然有限，尤其是在类别不平衡或噪声干扰严重的场景下，因此研究人员正在探索基于元学习的方法来提升模型的泛化性能，并尝试结合自监督学习策略以减少对标注数据的依赖。
79,reference_79.wav,庞大的用户数使脸书反欺诈团队头痛不已
80,reference_80.wav,晚睡晚起是否算熬夜主要取决于你的睡眠时间是否足够，以及你的生物钟是否被打乱。如果你晚睡但能保证足够的睡眠时间（成人通常需要7-9小时），并且第二天能自然醒来，不感觉疲劳或影响日常生活，这不算严格意义上的熬夜。然而，如果晚睡导致睡眠时间不足，或者晚起后感觉疲劳、注意力不集中，这可能被视为一种不规律的睡眠模式，长期下去可能会影响健康。建议尽量保持规律的睡眠时间，以维护身体和心理健康。如果出现睡眠问题，建议咨询医生。
81,reference_81.wav,购买一台电视，65英寸，（4 k）分辨率，直接从我的银行卡扣款
82,reference_82.wav,帮我查一下我昨天在淘宝上买的所有生活用品有没有付款成功，如未成功请帮我处理
83,reference_83.wav,随便播放一首周杰伦的歌
84,reference_84.wav,虽然该企业拥有一级安全生产资质，但其一般操作规程中明确标注：若未通过量子计算平台对非线性负载进行实时校准——这种极端情况下一级工程师通常不会手动干预——系统就可能会因谐波震荡导致崩溃，然而这种崩溃一般不会触发基础熔断机制，除非运营商同时忽略三级告警。
85,reference_85.wav,你该为自己转来转去的行为感到羞耻
86,reference_86.wav,它的脚爪整天都在滑倒
87,reference_87.wav,一些更复杂的方案会改变这些持续时间以传达更多信息。
88,reference_88.wav,请替我缴纳下个月的网络宽带费，金额大概是100元
89,reference_89.wav,为我报名参加这个周末的烘焙课程，支付费用，并发送详细信息给我
90,reference_90.wav,把杭州西湖区那家五星级酒店的行政套房定两天，下个月的15号到17号
91,reference_91.wav,支付137.9元
92,reference_92.wav,为我家的宽带账户结算下个月的上网费用
93,reference_93.wav,剩下几名猛虎帮的人直吓的魂飞魄散，一个个哪还敢回头还击，只恨爹娘少给自己生两条腿跑得更快！
94,reference_94.wav,防御指南：1.政府及相关部门应及时关注雷暴大风最新消息和有关防御通知，随时准备启动抢险应急方案。2.立即停止户外活动和作业。3.公园、景区、游乐场等户外场所应当及时发出警示信息，关闭相关区域，停止营业，组织居民避险。4.居民应当关紧门窗，妥善安置室外搁置物和悬挂物。人员切勿外出，外出时远离户外广告牌、棚架、铁皮屋、板房等易被大风吹动的搭建物，切勿在树下、电杆下、塔吊下躲避，应当留在有雷电防护装置的安全场所暂避。5.在建工地应当采取防护措施，加强工棚、脚手架、井架等设施和塔吊、龙门吊、升降机等机械、电器设备的安全防护，保障人员安全。6.铁路、公路等经营管理单位应当迅速采取措施，确保安全。（预警信息来源：国家预警信息发布中心）
95,reference_95.wav,凡东汉明帝以前的重大历史事件和重要的历史人物，都被按鉴编入。
96,reference_96.wav,虽然今天天气不太好，下着雨，但他还是坚持准时出门去上班，因为他不想让同事们觉得他不够负责。
97,reference_97.wav,月光透过窗帘的缝隙洒进房间，照亮了桌上那张泛黄的照片。照片上的男孩笑得很灿烂，背景是一座早已被拆除的老房子。她盯着看了很久，仿佛那些记忆正一点一点地从黑暗中浮现出来。
98,reference_98.wav,同时这也标志着两位大作曲家终身友谊的开始。
99,reference_99.wav,每个人对生活的感受不同。对于我来说，理性和有序的生活方式让我感到安心和踏实。
100,reference_100.wav,我要给我家宽带账户缴费300元，现在就办
101,reference_101.wav,中年人吃痛本能，一缩腿的功夫我已经是到了近处，他抬手还要再还击，我又一次劈拳跟着落下去了。
102,reference_102.wav,把我孩子的艺术班学费结算了，200元
103,reference_103.wav,取景换了好几个，拍摄国家特别美腻
104,reference_104.wav,穿着笔挺礼服打着漂亮领结的侍者原本在餐厅忙碌地穿来穿去，瑞博就着白开水啃完干面包走出了别墅，马车已经在门外等候着了。
105,reference_105.wav,预订一周的云南旅游套餐，包括昆明、大理和丽江的住宿和交通
106,reference_106.wav,G女士收到一条短信写着快递丢失点进链接可以帮助理赔退款，G女士加了客服的联系方式，并指导她下载某会议APP，视频指导她先发送支付宝口令红包，并告知马上即可给她退款，G女士打完款后被拉黑遂意识被骗
107,reference_107.wav,不少凡人害怕打雷。无法理解，这分明很寻常。
108,reference_108.wav,为我在故宫边上的老北京烤鸭店订一桌宴席，并支付订金
109,reference_109.wav,字根是字形类中文输入法拆字的基本形状单位。
110,reference_110.wav,所以方案型代餐切中的人群相对小众
111,reference_111.wav,结算一下寿司店的账单，一份火龙卷和两杯绿茶
112,reference_112.wav,九百三十之后腾讯投资有没有大的变化
113,reference_113.wav,一把长剑划破了长风，落叶被风卷起，我眼中顿然没了一切，只余下那把朝着他刺去的利刃。
114,reference_114.wav,安排一次汽车保养服务，我车的里程已经超过5000公里了
115,reference_115.wav,帮我购买一套新生儿衣物套装和婴儿推车，总共不超过2000元
116,reference_116.wav,缴纳罚款单，交警大队开具的违停罚单，编号20240305
117,reference_117.wav,成年人的肺活量男性平均为 3500-4000 毫升，女性为 2500-3000 毫升，吸烟或患有慢性呼吸道疾病的人群通常会低于此标准。建议定期进行体检，并在有任何异常时及时咨询医生。
118,reference_118.wav,他背着重包走在重阳节的山上，一边走一边想着重大的人生抉择。
119,reference_119.wav,大规模语言模型的训练过程涉及海量文本数据的预处理、词向量嵌入、注意力权重计算以及梯度下降优化，其背后依赖于高性能计算集群和分布式训练框架的支持。
120,reference_120.wav,加上最近唱歌很不顺心，就折腾晚了
121,reference_121.wav,付款给那家店铺78元，他们的木质照片框挺不错的
122,reference_122.wav,哈哈哈哈哈哈哈！
123,reference_123.wav,被爸爸把着经济命脉的哥哥日子也越来越无奈
124,reference_124.wav,选手的第一视角观赏性真的不行，切屏切的晕头转向。
125,reference_125.wav,确认支付
126,reference_126.wav,而且乍看之下并不是所有的过程都相关
127,reference_127.wav,一个三角形的中点三角形是原三角形的三边的中点所组成的三角形。
128,reference_128.wav,请购买套中号码的运动服装，用于明天的校园运动会
129,reference_129.wav,帮我预订一间北京市中心五星级酒店的行政套房，住宿日期从11月20日到11月23日
130,reference_130.wav,这种超低的转速配合路面的起伏，动平衡貌似没有太大意义
131,reference_131.wav,滴管是实验室中用于转移少量液体的器皿。
132,reference_132.wav,山林深处传来一声悠长的狼嚎，篝火映照着他们的脸庞，每个人都沉默不语。火堆旁的男人缓缓抬起头，低声说道：“我们不能再往前走了，那座山……它不属于人类。”
133,reference_133.wav,其也被誉为尼泊尔的国民美食。
134,reference_134.wav,在数学（特别是三角函数）学习中有一个常用的口诀：“奇变偶不变，符号看象限”，可以用来帮助记忆三角函数的诱导公式。
135,reference_135.wav,有意义，至少洗刷了一部分耻辱
136,reference_136.wav,复杂的事我不懂，这个梦不管是好是坏，总之你们是来解决它的吧？
137,reference_137.wav,随着全球气候变化和生态环境恶化，许多珍稀植物正面临灭绝风险，因此建立植物种质资源库、开展濒危物种保护研究以及推广可持续利用技术已成为植物科学研究的重要方向。
138,reference_138.wav,神经节是功能相同的神经元细胞体在中枢以外的周围部位集合而成的结节状构造。
139,reference_139.wav,面板右侧的颜色条显示黄色对应较高的数值，这表明矩阵中的黄色方块代表较高的相关性数值。
140,reference_140.wav,无线电数据广播是一种在传统的调频广播中嵌入少量的数字信息的通信协议标准。
141,reference_141.wav,他一边收拾行李，一边叮嘱自己要记得带上充电器和身份证，因为这次出差对他来说非常重要。
142,reference_142.wav,历史学和人类学都应该同时研究客观纯客观历史和主观历史是有些历史就是比较客观的
143,reference_143.wav,早，看你精神还算不错。
144,reference_144.wav,我每天都督促自己还好我有非常棒的工作人员非常棒的教练
145,reference_145.wav,有谁能为我复写下一个？
146,reference_146.wav,不不不，他可不是挺有才的，他真的是天才！
147,reference_147.wav,小罗被聊天群内一个‘充值300返1000’的广告吸引，通过扫码方式向对方转账，却没有得到承诺的返利。要求退款时对方解释需要贷款成功以验证信用度的方式退款。小罗听信了对方的套路，通过贷款软件贷得18000元并转账给骗子。骗子在收到钱后立即消失。（中国经济网2021年4月）
148,reference_148.wav,这个传闻令一众用家啧啧称奇！
149,reference_149.wav,光合作用主要发生在植物叶片的叶肉细胞中，其中含有大量的叶绿体，叶绿体内的叶绿素能够吸收太阳光，并利用光能将二氧化碳和水合成为葡萄糖，同时释放出氧气。
150,reference_150.wav,我需要一把新的厨房刀具，最好是不锈钢材质的，买下来直接发快递到家
151,reference_151.wav,实现科学育儿家长特别需要擦亮眼睛认真鉴别
152,reference_152.wav,好的，支付
153,reference_153.wav,帮我查一下最近有没有优惠的洗衣液，买两瓶大的
154,reference_154.wav,不久前新潮传媒减员的消息曾引起轩然大波
155,reference_155.wav,被子植物是目前植物界种类最多、分布最广的一类高等植物，其显著特征是种子外面有果皮包被，果实的形成有助于种子的保护和传播。
156,reference_156.wav,未来是一个充满无限可能性的领域。科技将会把我们带到前所未有的高度，而人类的创造力将为这个世界注入新的活力。
157,reference_157.wav,装饰陶器显示了经典的波斯园林垂直交叉式结构。
158,reference_158.wav,年轻人一个个成长起来，我也老了。时间过得可真快，生老病死果然是人人都绕不开的坎。
159,reference_159.wav,当然图文创作不会被视频创作取代
160,reference_160.wav,购买一件男士加绒加厚的家居服，看看有什么推荐
161,reference_161.wav,她轻轻合上那本泛黄的日记，指尖还停留在最后一页的字迹上，那是她母亲年轻时写下的：“如果有一天我离开了，请记得我不是故意的。”那一刻，她的眼泪终于滑落。
162,reference_162.wav,在画面的中心，一架小型的黑色飞机在飞行中被捕捉，正朝着画面的右侧翱翔。尽管飞机体积小巧，但在广阔的天空背景下，它却鲜明地突显出来。天空是蓝色和灰色的戏剧性混合，预示着暴风雨的天气。
163,reference_163.wav,当人们措手不及时会发生两件事
164,reference_164.wav,给我订三间双人房，在杭州西湖边的那家五星级酒店，下月初入住
165,reference_165.wav,商家需要我们，但是同时我们也是真的需要商家
166,reference_166.wav,夜色如墨，风卷起街角的落叶，在昏黄的路灯下打着旋儿。他站在那扇锈迹斑斑的铁门前，久久没有敲响门铃，仿佛只要再等一会儿，就能逃避即将面对的一切。
167,reference_167.wav,给我安排杭州西湖边的宾馆，我想要一间面朝西湖的房间，11月20号入住
168,reference_168.wav,每次和他们一起训练我都变得越来越自信
169,reference_169.wav,她坐在咖啡馆的角落里，手里捧着一杯热拿铁，静静地翻着一本旧书，享受着难得的独处时光。
170,reference_170.wav,想象着自己住在美丽的童话故事里
171,reference_171.wav,但很明显最终我们都看到他签下了一份新合同
172,reference_172.wav,帮我预订下一个周末在上海迪士尼附近的主题酒店，两个大人和一个小孩的家庭套房
173,reference_173.wav,甲状旁腺激素受体（P T H 1 R）广泛分布于骨和肾脏组织中，当（P T H）与其结合后，可激活腺苷酸环化酶系统，引发一系列信号转导反应，调节钙磷平衡及骨代谢活动。
174,reference_174.wav,帮我支付一年的储物柜租金，选择靠近地铁站的那家
175,reference_175.wav,天气不错，温度适中，适合出门散步。
176,reference_176.wav,阻碍快速钠阳离子通道是治疗心律不正常的一种可能的途径。
177,reference_177.wav,他的父亲和祖父都是职业自行车车手。
178,reference_178.wav,这个项目的领头人领了我们去山领。他道了一声别，拿起铁锹开始锄地
179,reference_179.wav,帮我购买一提纸巾和两瓶洗发水，记得用我账户的优惠券
180,reference_180.wav,帮我查一下电视机顶盒的服务是否到期了，如果到了就续上一年
181,reference_181.wav,热固性塑料的分子量一般假设是无限大。
182,reference_182.wav,需要给我在校大学生的校园卡里充值300元餐费
183,reference_183.wav,帮我结算购物车里的五件衣服，总共2000元，用我账户里的余额支付
184,reference_184.wav,有可能！你觉得我们还能在哪里遇到这样神奇的鹦鹉呢？
185,reference_185.wav,帮我查一下下个月去厦门鼓浪屿的酒店套餐，需要包括返回的船票
186,reference_186.wav,赛事由国际网球联合会和澳网官方委员会联合负责。
187,reference_187.wav,他们四年后迈入的社会可能充满了鲜花和掌声，但也可能和此时的人流一样拥挤，没有人能知道。
188,reference_188.wav,左乐看着眼前旁若无人的黄牛，又瞥了一眼旁边距离不到十米远的售票处，摇头苦笑了一声然后开始黄牛谈价还价。
189,reference_189.wav,确实有一定的压力，但这是每个项目中都不可避免的部分。我们通过合理的计划和团队合作来分担压力，确保每个人都能专注于自己的任务。
190,reference_190.wav,盐池县气象台2022年11月27日11时40分发布寒潮橙色大风蓝色预警信号:受强冷空气东移南下影响，预计27-29日，我县有一次寒潮、大风、沙尘天气过程，28-29日全县气温明显下降，29日较27日全县日平均气温下降14到16℃，29日全县最高气温降至-12到-6℃，29和30日的清晨，全县最低气温降至-17到-14℃；27日傍晚到28日白天，全县有5级左右（5.5到13.8米/秒）偏北风，阵风7到9级（13.9到24.4米/秒），伴有扬沙天气（能见度1到9千米）。请相关部门和广大群众注意做好防风、防沙、防火、防寒保暖工作。具体影响区域为：盐池县花马池镇、高沙窝镇、王乐井乡、青山乡、冯记沟乡、大水坑镇、惠安堡镇、麻黄山乡和盐州路街道。
191,reference_191.wav,他的发球和上网被公认为网球史上最优雅之一。
192,reference_192.wav,南印度洋穆氏暗光鱼为辐鳍鱼纲巨口鱼目褶胸鱼科的其中一种。
193,reference_193.wav,有次亲戚家煤气罐阀门漏气起火了
194,reference_194.wav,九
195,reference_195.wav,智能锁联动成功了，设置回家自动开窗帘
196,reference_196.wav,在旅途中那位来自银行的同行告诉我，虽然他是第一次跟我们公司的人一起出差，但他走路的速度一点也不慢，走起路来比谁都行，而且他说他从小就喜欢户外活动，真是个既专业且行动力强的人。
197,reference_197.wav,未来短视频创作又将走向何方？
198,reference_198.wav,虽然他还欠我十块钱没还，但我还是决定再借给他一些，因为他答应下个月一定还清，而且他还一再保证不会让我失望。
199,reference_199.wav,伊犁州林业和草原局与伊犁州气象局2023年3月31日17时联合发布森林（草原）火险气象风险橙色预警：预计今天夜间至4月9日，伊犁河谷各地以晴间多云天气为主，部分时段有大风天气，空气干燥，正值清明春耕时节，祭祀和烧荒活动较多，极易发生森林草原火灾。伊宁市、霍尔果斯市、霍城县、察布查尔县、伊宁县森林火险气象等级为橙色预警(四级火险)，林牧区、景区加强火源管理，游客禁带火种进入景区，森林草原防火区内禁止烧荒、烧纸、烧香、吸烟玩火和野炊行为，倡导鲜花祭祀、文明祭祀。（预警信息来源：国家预警信息发布中心）
200,reference_200.wav,买体检套餐，基础项目+肿瘤筛查，价格1280元，用医保支付
